level,operator,operator_name,aperture,pressure,depth,binding,continuity,d2_magnitude,master_lemma_defect,lens_mismatch,coherence_action,coherence_band,collapse_distance,step_hash
0,0,VOID,0.160319,0.100000,1.000000,0.030000,0.920000,0.033895,0.160319,0.014938,0.437106,YELLOW,0.277179,5f7f8baefa4cfc6c
1,5,BALANCE,0.117911,0.150000,0.500000,0.040000,0.880000,0.508427,0.117911,0.156504,0.558262,YELLOW,0.156024,d92de8c16f31e20e
2,7,HARMONY,0.077167,0.200000,0.250000,0.050000,0.840000,0.250006,0.077167,0.374548,0.540025,YELLOW,0.174261,03cb05a57d1c5399
3,7,HARMONY,0.055232,0.250000,0.125000,0.060000,0.800000,0.126407,0.055232,0.502701,0.473344,YELLOW,0.240942,4f3fe114ecc6ca0c
4,0,VOID,0.032166,0.300000,0.062500,0.070000,0.760000,0.062510,0.032166,0.561261,0.442515,YELLOW,0.271771,06d68f0733265238
5,0,VOID,0.018356,0.350000,0.031250,0.080000,0.720000,0.032592,0.018356,0.580271,0.458060,YELLOW,0.256226,50321c7555811f02
6,0,VOID,0.010000,0.400000,0.015625,0.090000,0.680000,0.016550,0.010000,0.581594,0.467281,YELLOW,0.247005,ab27bfa5ed9a3214
7,0,VOID,0.010000,0.450000,0.007812,0.100000,0.640000,0.011439,0.010000,0.575061,0.473501,YELLOW,0.240784,e3bb115e2b0943ea
8,0,VOID,0.010000,0.500000,0.003906,0.110000,0.600000,0.003906,0.010000,0.569928,0.477379,YELLOW,0.236907,a7775c71246928ec
9,0,VOID,0.010000,0.550000,0.001953,0.120000,0.560000,0.001953,0.010000,0.569216,0.481727,YELLOW,0.232558,286d9bcd3358ae78
10,0,VOID,0.010000,0.600000,0.000977,0.130000,0.520000,0.000977,0.010000,0.574385,0.486271,YELLOW,0.228014,d77a32b6247789a2
11,0,VOID,0.010000,0.650000,0.000488,0.140000,0.480000,0.000488,0.010000,0.586131,0.491292,YELLOW,0.222993,372083e19a2aceb9
